market,commodity,date,price
Ejura,Cassava,2022-11-15,6.603772056521997
Ejura,Gari,2022-11-15,4.780119113957925
Ejura,Maize,2022-11-15,2.6033295265015863
Ejura,Maize (yellow),2022-11-15,3.085163592073733
Ejura,Millet,2022-11-15,3.6470291837361133
Ejura,Rice (imported),2022-11-15,4.4967173513227054
Ejura,Rice (local),2022-11-15,5.357002476838876
Ejura,Sorghum,2022-11-15,3.886444137973121
Ejura,Yam,2022-11-15,2.8508041164201376
Ejura,"Fish (mackerel, fresh)",2022-11-15,8.684220748677221
Ejura,Cowpeas,2022-11-15,2.901943607379095
Ejura,Soybeans,2022-11-15,14.862816770973104
Ejura,Eggplants,2022-11-15,3.2065441651581947
Ejura,Onions,2022-11-15,0.8798565967591805
Ejura,Peppers (dried),2022-11-15,3.131999138686604
Ejura,Peppers (fresh),2022-11-15,1.4923097024684988
Ejura,Plantains (apem),2022-11-15,8.36905755722861
Ejura,Plantains (apentu),2022-11-15,10.089347290538417
Ejura,Tomatoes (local),2022-11-15,4.8434706451601235
Ejura,Tomatoes (navrongo),2022-11-15,0.9131650053357028
Ejura,Yam (puna),2022-11-15,5.027916613476051
Ejura,Meat (chicken),2022-11-15,11.5615691277299
Kumasi,Cassava,2022-11-15,1.2000130217221843
Kumasi,Gari,2022-11-15,4.271431819475103
Kumasi,Maize,2022-11-15,7.749370989401557
Kumasi,Maize (yellow),2022-11-15,7.565687668665854
Kumasi,Millet,2022-11-15,4.278632211335948
Kumasi,Rice (imported),2022-11-15,3.964195654252817
Kumasi,Rice (local),2022-11-15,7.37837394376268
Kumasi,Sorghum,2022-11-15,3.7210921230838103
Kumasi,Yam,2022-11-15,3.0221253950347
Kumasi,"Fish (mackerel, fresh)",2022-11-15,1.5806939528660662
Kumasi,Cowpeas,2022-11-15,11.372798849787797
Kumasi,Soybeans,2022-11-15,13.39509718222132
Kumasi,Eggplants,2022-11-15,2.135870805202112
Kumasi,Onions,2022-11-15,0.21104159859759664
Kumasi,Peppers (dried),2022-11-15,2.9037838287584083
Kumasi,Peppers (fresh),2022-11-15,2.6498996492480353
Kumasi,Plantains (apem),2022-11-15,3.4981401700309265
Kumasi,Plantains (apentu),2022-11-15,4.158795534685451
Kumasi,Tomatoes (local),2022-11-15,5.773440727386018
Kumasi,Tomatoes (navrongo),2022-11-15,1.6995527438681612
Kumasi,Yam (puna),2022-11-15,6.0100122016556705
Kumasi,Meat (chicken),2022-11-15,13.178903304795206
Obuasi,Cassava,2022-11-15,1.210240863208969
Obuasi,Gari,2022-11-15,17.025975521793615
Obuasi,Maize,2022-11-15,6.916504677223358
Obuasi,Maize (yellow),2022-11-15,4.641526433888286
Obuasi,Millet,2022-11-15,8.087477673217014
Obuasi,Rice (imported),2022-11-15,4.894153740188283
Obuasi,Rice (local),2022-11-15,5.5980681099078256
Obuasi,Sorghum,2022-11-15,2.7
Obuasi,Yam,2022-11-15,1.6521096864863438
Obuasi,"Fish (mackerel, fresh)",2022-11-15,12.021954357683981
Obuasi,Cowpeas,2022-11-15,10.971569383265615
Obuasi,Soybeans,2022-11-15,5.722423702257723
Obuasi,Eggplants,2022-11-15,4.265397859908537
Obuasi,Onions,2022-11-15,5.58100199299317
Obuasi,Peppers (dried),2022-11-15,4.3953801362345075
Obuasi,Peppers (fresh),2022-11-15,33.50244155982192
Obuasi,Plantains (apem),2022-11-15,3.16620566400068
Obuasi,Plantains (apentu),2022-11-15,8.036104210988679
Obuasi,Tomatoes (local),2022-11-15,5.625816932176763
Obuasi,Tomatoes (navrongo),2022-11-15,1.6933327091728603
Obuasi,Yam (puna),2022-11-15,2.260822931050153
Obuasi,Meat (chicken),2022-11-15,5.302752419207578
Kintampo,Cassava,2022-11-15,2.8333297768897383
Kintampo,Gari,2022-11-15,7.953145505543152
Kintampo,Maize,2022-11-15,3.7071597868974377
Kintampo,Maize (yellow),2022-11-15,3.65795590710134
Kintampo,Millet,2022-11-15,5.090958329588274
Kintampo,Rice (imported),2022-11-15,7.132578827015164
Kintampo,Rice (local),2022-11-15,5.892732200204009
Kintampo,Sorghum,2022-11-15,2.8038235196211008
Kintampo,Yam,2022-11-15,2.7548332478969852
Kintampo,"Fish (mackerel, fresh)",2022-11-15,6.2149955997344755
Kintampo,Cowpeas,2022-11-15,2.8265645157706256
Kintampo,Soybeans,2022-11-15,11.538997981494806
Kintampo,Eggplants,2022-11-15,0.5425198531915778
Kintampo,Onions,2022-11-15,6.8116919744903255
Kintampo,Peppers (dried),2022-11-15,0.12253757517666974
Kintampo,Peppers (fresh),2022-11-15,2.8263425556719826
Kintampo,Plantains (apem),2022-11-15,4.6842501402326615
Kintampo,Plantains (apentu),2022-11-15,4.866850765750648
Kintampo,Tomatoes (local),2022-11-15,2.2735695530912317
Kintampo,Tomatoes (navrongo),2022-11-15,1.001163728414936
Kintampo,Yam (puna),2022-11-15,6.013832551757831
Kintampo,Meat (chicken),2022-11-15,0.318889217186344
Sunyani,Cassava,2022-11-15,1.1630072420842819
Sunyani,Gari,2022-11-15,5.499777482704753
Sunyani,Maize,2022-11-15,4.483933473636102
Sunyani,Maize (yellow),2022-11-15,4.520437656641333
Sunyani,Millet,2022-11-15,5.559742194670854
Sunyani,Rice (imported),2022-11-15,4.458903441050686
Sunyani,Rice (local),2022-11-15,5.264920810571818
Sunyani,Sorghum,2022-11-15,5.136245805756798
Sunyani,Yam,2022-11-15,2.6395235126029366
Sunyani,"Fish (mackerel, fresh)",2022-11-15,9.486083637026539
Sunyani,Cowpeas,2022-11-15,10.231570223186472
Sunyani,Soybeans,2022-11-15,0.9207393353626157
Sunyani,Eggplants,2022-11-15,1.860158688651881
Sunyani,Onions,2022-11-15,6.741527708840569
Sunyani,Peppers (dried),2022-11-15,0.038334231826365084
Sunyani,Peppers (fresh),2022-11-15,1.8122412186276475
Sunyani,Plantains (apem),2022-11-15,2.043213197558234
Sunyani,Plantains (apentu),2022-11-15,0.8884394472099286
Sunyani,Tomatoes (local),2022-11-15,0.4604170155281244
Sunyani,Tomatoes (navrongo),2022-11-15,0.8973309254108923
Sunyani,Yam (puna),2022-11-15,4.1513697393574285
Sunyani,Meat (chicken),2022-11-15,7.243426697226257
Techiman,Cassava,2022-11-15,0.7807231061148853
Techiman,Gari,2022-11-15,5.299199953223198
Techiman,Maize,2022-11-15,3.615959032500916
Techiman,Maize (yellow),2022-11-15,3.497682167768084
Techiman,Millet,2022-11-15,4.345750272217469
Techiman,Rice (imported),2022-11-15,6.699835497097033
Techiman,Rice (local),2022-11-15,5.7405706979424975
Techiman,Sorghum,2022-11-15,4.07512026134419
Techiman,Yam,2022-11-15,1.5841332789670128
Techiman,"Fish (mackerel, fresh)",2022-11-15,5.326027568670269
Techiman,Cowpeas,2022-11-15,8.014007517911566
Techiman,Soybeans,2022-11-15,7.828135050860965
Techiman,Eggplants,2022-11-15,0.6417726301649704
Techiman,Onions,2022-11-15,7.141136913822064
Techiman,Peppers (dried),2022-11-15,4.946503810760531
Techiman,Peppers (fresh),2022-11-15,0.47731909508184267
Techiman,Plantains (apem),2022-11-15,2.68518432918
Techiman,Plantains (apentu),2022-11-15,2.8908417484873556
Techiman,Tomatoes (local),2022-11-15,2.0236056610683817
Techiman,Tomatoes (navrongo),2022-11-15,1.6977589249943885
Techiman,Yam (puna),2022-11-15,2.492584064484987
Techiman,Meat (chicken),2022-11-15,2.500942838499631
Cape Coast,Cassava,2022-11-15,0.5472081841792404
Cape Coast,Gari,2022-11-15,9.681297835469529
Cape Coast,Maize,2022-11-15,7.601146450747931
Cape Coast,Maize (yellow),2022-11-15,7.078243375693081
Cape Coast,Millet,2022-11-15,3.831514065521665
Cape Coast,Rice (imported),2022-11-15,6.698062828479476
Cape Coast,Rice (local),2022-11-15,7.260638582977883
Cape Coast,Sorghum,2022-11-15,3.8423466776472672
Cape Coast,Yam,2022-11-15,6.356384833688184
Cape Coast,"Fish (mackerel, fresh)",2022-11-15,57.673420374359345
Cape Coast,Cowpeas,2022-11-15,8.01385187705822
Cape Coast,Soybeans,2022-11-15,10.976404333623687
Cape Coast,Eggplants,2022-11-15,0.443261962160896
Cape Coast,Onions,2022-11-15,19.1904757235412
Cape Coast,Peppers (dried),2022-11-15,11.56281554637063
Cape Coast,Peppers (fresh),2022-11-15,6.766891602330841
Cape Coast,Plantains (apem),2022-11-15,4.266721880680848
Cape Coast,Plantains (apentu),2022-11-15,3.560480717619107
Cape Coast,Tomatoes (local),2022-11-15,2.3370024764475725
Cape Coast,Tomatoes (navrongo),2022-11-15,12.767923838066471
Cape Coast,Yam (puna),2022-11-15,7.059057137331162
Cape Coast,Meat (chicken),2022-11-15,3.605128226617122
Mankessim,Cassava,2022-11-15,1.7181198539082225
Mankessim,Gari,2022-11-15,5.085262188218212
Mankessim,Maize,2022-11-15,4.1750749272925365
Mankessim,Maize (yellow),2022-11-15,5.075743658100362
Mankessim,Millet,2022-11-15,5.26174735132068
Mankessim,Rice (imported),2022-11-15,5.577577854032047
Mankessim,Rice (local),2022-11-15,5.959284097159332
Mankessim,Sorghum,2022-11-15,3.19
Mankessim,Yam,2022-11-15,2.667270993489181
Mankessim,"Fish (mackerel, fresh)",2022-11-15,11.16982539595881
Mankessim,Cowpeas,2022-11-15,3.7004222454713283
Mankessim,Soybeans,2022-11-15,3.216360610205033
Mankessim,Eggplants,2022-11-15,0.28065414474889594
Mankessim,Onions,2022-11-15,7.9395063953551865
Mankessim,Peppers (dried),2022-11-15,2.4802249070520257
Mankessim,Peppers (fresh),2022-11-15,3.1279464661913305
Mankessim,Plantains (apem),2022-11-15,3.739746335857406
Mankessim,Plantains (apentu),2022-11-15,4.250919008555153
Mankessim,Tomatoes (local),2022-11-15,5.725002507634381
Mankessim,Tomatoes (navrongo),2022-11-15,0.13686798675256506
Mankessim,Yam (puna),2022-11-15,2.0772602731645735
Mankessim,Meat (chicken),2022-11-15,3.170777952369896
Koforidua,Cassava,2022-11-15,1.609380585655512
Koforidua,Gari,2022-11-15,8.642093909216065
Koforidua,Maize,2022-11-15,3.5810074978601714
Koforidua,Maize (yellow),2022-11-15,3.5079878266242086
Koforidua,Millet,2022-11-15,4.88363642769809
Koforidua,Rice (imported),2022-11-15,7.055964441138035
Koforidua,Rice (local),2022-11-15,6.93
Koforidua,Sorghum,2022-11-15,4.9519553550910835
Koforidua,Yam,2022-11-15,4.616393905171534
Koforidua,"Fish (mackerel, fresh)",2022-11-15,17.296744318141837
Koforidua,Cowpeas,2022-11-15,8.591728920051125
Koforidua,Soybeans,2022-11-15,6.494214288999307
Koforidua,Eggplants,2022-11-15,0.8063609405988053
Koforidua,Onions,2022-11-15,2.3052447495332613
Koforidua,Peppers (dried),2022-11-15,8.845896091478672
Koforidua,Peppers (fresh),2022-11-15,3.8501023605122513
Koforidua,Plantains (apem),2022-11-15,3.1978770305033635
Koforidua,Plantains (apentu),2022-11-15,4.663040012196964
Koforidua,Tomatoes (local),2022-11-15,2.3754362073475734
Koforidua,Tomatoes (navrongo),2022-11-15,4.470667617955993
Koforidua,Yam (puna),2022-11-15,5.357174202991505
Koforidua,Meat (chicken),2022-11-15,1.9156063873325935
Accra,Cassava,2022-11-15,3.143583627638802
Accra,Gari,2022-11-15,4.18483344883745
Accra,Maize,2022-11-15,5.675316787306513
Accra,Maize (yellow),2022-11-15,5.469928392319693
Accra,Millet,2022-11-15,5.254039449987316
Accra,Rice (imported),2022-11-15,4.424352480185123
Accra,Rice (local),2022-11-15,6.354699545152935
Accra,Sorghum,2022-11-15,8.945870479770432
Accra,Yam,2022-11-15,5.5148518367289805
Accra,"Fish (mackerel, fresh)",2022-11-15,16.06582988722323
Accra,Cowpeas,2022-11-15,6.838978008780378
Accra,Soybeans,2022-11-15,10.15735230619873
Accra,Eggplants,2022-11-15,0.41060023951614233
Accra,Onions,2022-11-15,17.99319506353691
Accra,Peppers (dried),2022-11-15,14.663295824725665
Accra,Peppers (fresh),2022-11-15,2.723598324044164
Accra,Plantains (apem),2022-11-15,5.2905807094813335
Accra,Plantains (apentu),2022-11-15,1.526858888174441
Accra,Tomatoes (local),2022-11-15,2.402564349921021
Accra,Tomatoes (navrongo),2022-11-15,2.171279487238955
Accra,Yam (puna),2022-11-15,5.408088183970479
Accra,Meat (chicken),2022-11-15,7.39430447459591
Tema,Cassava,2022-11-15,3.231269741616147
Tema,Gari,2022-11-15,14.02152316602317
Tema,Maize,2022-11-15,5.689363159777535
Tema,Maize (yellow),2022-11-15,6.496730800475689
Tema,Millet,2022-11-15,8.908311202187146
Tema,Rice (imported),2022-11-15,10.465215634615674
Tema,Rice (local),2022-11-15,11.078200693310691
Tema,Sorghum,2022-11-15,7.39169214071611
Tema,Yam,2022-11-15,10.407684665292573
Tema,"Fish (mackerel, fresh)",2022-11-15,11.42796531689677
Tema,Cowpeas,2022-11-15,17.03922359381354
Tema,Soybeans,2022-11-15,35.273233506275155
Tema,Eggplants,2022-11-15,1.5030080128366166
Tema,Onions,2022-11-15,5.805983665643378
Tema,Peppers (dried),2022-11-15,0.027362365035513037
Tema,Peppers (fresh),2022-11-15,7.794828159791959
Tema,Plantains (apem),2022-11-15,2.952361373758155
Tema,Plantains (apentu),2022-11-15,0.7344668418552729
Tema,Tomatoes (local),2022-11-15,6.440127688906353
Tema,Tomatoes (navrongo),2022-11-15,8.487709131532544
Tema,Yam (puna),2022-11-15,15.034477620957967
Tema,Meat (chicken),2022-11-15,8.02098123513899
Tamale,Cassava,2022-11-15,3.9264156830517383
Tamale,Gari,2022-11-15,7.22685231274769
Tamale,Maize,2022-11-15,3.810000837075182
Tamale,Maize (yellow),2022-11-15,3.7906702774715573
Tamale,Millet,2022-11-15,5.0338599438852345
Tamale,Rice (imported),2022-11-15,8.236169622541825
Tamale,Rice (local),2022-11-15,3.672621936944526
Tamale,Sorghum,2022-11-15,4.823362006730683
Tamale,Yam,2022-11-15,1.866525113038486
Tamale,"Fish (mackerel, fresh)",2022-11-15,2.5031198404293042
Tamale,Cowpeas,2022-11-15,3.973716946356015
Tamale,Soybeans,2022-11-15,1.9753332474017364
Tamale,Eggplants,2022-11-15,2.3974910967622174
Tamale,Onions,2022-11-15,3.589845656902911
Tamale,Peppers (dried),2022-11-15,0.91458502534671
Tamale,Peppers (fresh),2022-11-15,7.401652845096856
Tamale,Plantains (apem),2022-11-15,6.456228284985176
Tamale,Plantains (apentu),2022-11-15,5.956609120815018
Tamale,Tomatoes (local),2022-11-15,2.618432776425951
Tamale,Tomatoes (navrongo),2022-11-15,2.3227327440223924
Tamale,Yam (puna),2022-11-15,3.0044718738894645
Tamale,Meat (chicken),2022-11-15,11.129764654211016
Yendi,Cassava,2022-11-15,1.415060654481805
Yendi,Gari,2022-11-15,6.619441899018065
Yendi,Maize,2022-11-15,3.575283933368869
Yendi,Millet,2022-11-15,3.279668441449856
Yendi,Rice (imported),2022-11-15,5.004681761696628
Yendi,Rice (local),2022-11-15,5.2103743288353
Yendi,Sorghum,2022-11-15,2.5322902100584965
Yendi,Yam,2022-11-15,3.136863167912478
Yendi,"Fish (mackerel, fresh)",2022-11-15,0.9322493281549966
Yendi,Cowpeas,2022-11-15,3.4151762407119852
Yendi,Soybeans,2022-11-15,14.638872391034331
Yendi,Eggplants,2022-11-15,10.851851549926902
Yendi,Onions,2022-11-15,7.826549002760644
Yendi,Peppers (dried),2022-11-15,14.929999102918483
Yendi,Peppers (fresh),2022-11-15,3.7333446833828994
Yendi,Plantains (apem),2022-11-15,2.390000061976738
Yendi,Plantains (apentu),2022-11-15,3.31
Yendi,Tomatoes (local),2022-11-15,1.2044491866529332
Yendi,Tomatoes (navrongo),2022-11-15,3.220829498057668
Yendi,Yam (puna),2022-11-15,3.298393417520963
Yendi,Meat (chicken),2022-11-15,3.472340289788886
Bolga,Cassava,2022-11-15,7.930643609299134
Bolga,Gari,2022-11-15,3.199247120163154
Bolga,Maize,2022-11-15,3.5772220161294914
Bolga,Maize (yellow),2022-11-15,3.61972086572974
Bolga,Millet,2022-11-15,5.216936673072105
Bolga,Rice (imported),2022-11-15,8.584527622358843
Bolga,Rice (local),2022-11-15,4.605198162353147
Bolga,Sorghum,2022-11-15,3.2175771298512563
Bolga,Yam,2022-11-15,1.1963510006677132
Bolga,"Fish (mackerel, fresh)",2022-11-15,5.7505381118357395
Bolga,Cowpeas,2022-11-15,5.257732119113884
Bolga,Soybeans,2022-11-15,19.15173293379332
Bolga,Eggplants,2022-11-15,7.627820165442651
Bolga,Onions,2022-11-15,7.939044331882778
Bolga,Peppers (dried),2022-11-15,6.0545307502885555
Bolga,Peppers (fresh),2022-11-15,1.5010695581157658
Bolga,Plantains (apem),2022-11-15,14.20890406407854
Bolga,Plantains (apentu),2022-11-15,12.046284328888145
Bolga,Tomatoes (local),2022-11-15,3.159639350195456
Bolga,Tomatoes (navrongo),2022-11-15,1.9386643400156411
Bolga,Yam (puna),2022-11-15,6.563331707712762
Bolga,Meat (chicken),2022-11-15,0.694478440696507
Garu,Cassava,2022-11-15,8.334160983137798
Garu,Gari,2022-11-15,7.473223349364695
Garu,Maize,2022-11-15,4.414559999951321
Garu,Maize (yellow),2022-11-15,4.883898702134205
Garu,Millet,2022-11-15,5.547929552632596
Garu,Rice (imported),2022-11-15,5.559831072009409
Garu,Rice (local),2022-11-15,4.489897367384245
Garu,Sorghum,2022-11-15,4.83884732159801
Garu,Yam,2022-11-15,2.5056427566786557
Garu,"Fish (mackerel, fresh)",2022-11-15,8.821028288990334
Garu,Cowpeas,2022-11-15,12.399648086097535
Garu,Soybeans,2022-11-15,12.363506730103854
Garu,Eggplants,2022-11-15,1.5391337853399363
Garu,Onions,2022-11-15,5.581725557466925
Garu,Peppers (dried),2022-11-15,1.3637665497972105
Garu,Peppers (fresh),2022-11-15,5.1649867660105375
Garu,Plantains (apem),2022-11-15,6.797851226281575
Garu,Plantains (apentu),2022-11-15,7.274102852219649
Garu,Tomatoes (local),2022-11-15,9.157996095129652
Garu,Tomatoes (navrongo),2022-11-15,4.994130899509215
Garu,Yam (puna),2022-11-15,3.9005468323747268
Garu,Meat (chicken),2022-11-15,4.813272484873059
Wa,Cassava,2022-11-15,0.8418148358766904
Wa,Gari,2022-11-15,8.242242577154196
Wa,Maize,2022-11-15,3.9457979766039895
Wa,Maize (yellow),2022-11-15,4.049599357837621
Wa,Millet,2022-11-15,4.398971473602511
Wa,Rice (imported),2022-11-15,9.50760376824393
Wa,Rice (local),2022-11-15,4.341864991509597
Wa,Sorghum,2022-11-15,2.8427941032986572
Wa,Yam,2022-11-15,1.654507976333535
Wa,"Fish (mackerel, fresh)",2022-11-15,20.177661565449377
Wa,Cowpeas,2022-11-15,2.539845126570407
Wa,Soybeans,2022-11-15,1.2549116209080005
Wa,Eggplants,2022-11-15,0.35446947888804725
Wa,Onions,2022-11-15,25.90415520419002
Wa,Peppers (dried),2022-11-15,29.430018547706446
Wa,Peppers (fresh),2022-11-15,1.4950302318209343
Wa,Plantains (apem),2022-11-15,2.228488859426083
Wa,Plantains (apentu),2022-11-15,7.294843478824338
Wa,Tomatoes (local),2022-11-15,31.564829794437998
Wa,Tomatoes (navrongo),2022-11-15,0.06726193517947676
Wa,Yam (puna),2022-11-15,2.1630482000166533
Wa,Meat (chicken),2022-11-15,1.1310863431444016
Ho,Cassava,2022-11-15,3.8305252396986322
Ho,Gari,2022-11-15,4.4316952146793085
Ho,Maize,2022-11-15,4.293708371262892
Ho,Maize (yellow),2022-11-15,4.152150904669984
Ho,Millet,2022-11-15,5.46151311433113
Ho,Rice (imported),2022-11-15,6.448480199503612
Ho,Rice (local),2022-11-15,5.937700354199326
Ho,Sorghum,2022-11-15,5.511374570252045
Ho,Yam,2022-11-15,2.4168798299092025
Ho,"Fish (mackerel, fresh)",2022-11-15,10.818810465470529
Ho,Cowpeas,2022-11-15,4.982419024873316
Ho,Soybeans,2022-11-15,9.175681397059948
Ho,Eggplants,2022-11-15,0.8456229710643721
Ho,Onions,2022-11-15,3.5651246687178104
Ho,Peppers (dried),2022-11-15,2.80423400104861
Ho,Peppers (fresh),2022-11-15,1.8973965745582713
Ho,Plantains (apem),2022-11-15,5.011705414373535
Ho,Plantains (apentu),2022-11-15,5.636567612207506
Ho,Tomatoes (local),2022-11-15,0.07029608407179122
Ho,Tomatoes (navrongo),2022-11-15,1.692538276780843
Ho,Yam (puna),2022-11-15,3.6898014255773663
Ho,Meat (chicken),2022-11-15,1.9727498298775816
Sekondi/Takoradi,Cassava,2022-11-15,0.026742176323389266
Sekondi/Takoradi,Gari,2022-11-15,9.524901702195278
Sekondi/Takoradi,Maize,2022-11-15,5.8703111294935875
Sekondi/Takoradi,Maize (yellow),2022-11-15,5.61583616442697
Sekondi/Takoradi,Millet,2022-11-15,5.595444325643003
Sekondi/Takoradi,Rice (imported),2022-11-15,6.327649361842202
Sekondi/Takoradi,Rice (local),2022-11-15,4.607367518678413
Sekondi/Takoradi,Sorghum,2022-11-15,5.15629381475351
Sekondi/Takoradi,Yam,2022-11-15,6.089542773564599
Sekondi/Takoradi,"Fish (mackerel, fresh)",2022-11-15,5.023842327337864
Sekondi/Takoradi,Cowpeas,2022-11-15,15.750477947507672
Sekondi/Takoradi,Soybeans,2022-11-15,19.669122136230833
Sekondi/Takoradi,Eggplants,2022-11-15,4.024713752264768
Sekondi/Takoradi,Onions,2022-11-15,12.56637940525135
Sekondi/Takoradi,Peppers (dried),2022-11-15,2.878153458609972
Sekondi/Takoradi,Peppers (fresh),2022-11-15,3.5954947102211956
Sekondi/Takoradi,Plantains (apem),2022-11-15,8.686793193207613
Sekondi/Takoradi,Plantains (apentu),2022-11-15,3.483622149278519
Sekondi/Takoradi,Tomatoes (local),2022-11-15,16.090879373207297
Sekondi/Takoradi,Tomatoes (navrongo),2022-11-15,3.5687379233481016
Sekondi/Takoradi,Yam (puna),2022-11-15,4.585819213767007
Sekondi/Takoradi,Meat (chicken),2022-11-15,23.748275816814527
Hohoe,Cassava,2022-11-15,1.3980991577267345
Hohoe,Gari,2022-11-15,5.172380214225802
Hohoe,Maize,2022-11-15,5.061901687462048
Hohoe,Maize (yellow),2022-11-15,1.8984769797525929
Hohoe,Millet,2022-11-15,5.1966220744430665
Hohoe,Rice (imported),2022-11-15,3.0569739179331155
Hohoe,Rice (local),2022-11-15,4.732140833150508
Hohoe,Sorghum,2022-11-15,5.963218129633452
Hohoe,Yam,2022-11-15,3.95636718523046
Hohoe,"Fish (mackerel, fresh)",2022-11-15,1.6733443148582836
Hohoe,Cowpeas,2022-11-15,8.028128124336174
Hohoe,Soybeans,2022-11-15,11.214080132145376
Hohoe,Eggplants,2022-11-15,1.2049988548545276
Hohoe,Onions,2022-11-15,0.014606698447374278
Hohoe,Peppers (dried),2022-11-15,5.751501247954654
Hohoe,Peppers (fresh),2022-11-15,2.7491476524777414
Hohoe,Plantains (apem),2022-11-15,3.4628455892317795
Hohoe,Plantains (apentu),2022-11-15,4.363115388493063
Hohoe,Tomatoes (local),2022-11-15,2.4914794633223365
Hohoe,Tomatoes (navrongo),2022-11-15,1.8463732744682093
Hohoe,Yam (puna),2022-11-15,4.022120714059582
